origin,destination,duration_count,duration_mean,duration_std,duration_min,duration_25%,duration_50%,duration_75%,duration_max
Albacete,Madrid,563035.0,1.9803074586837406,0.6060224264812996,1.5,1.6,1.63,2.43,4.53
Alicante,Madrid,336438.0,2.860042177161915,1.2518406035148306,2.27,2.52,2.6,2.62,9.12
Barcelona,Madrid,4161224.0,3.1819284734491564,1.3209970342937147,2.5,2.6,2.78,3.17,11.37
Barcelona,Valencia,52833.0,3.319802206953988,1.0414115022602108,2.67,2.67,2.67,3.2,5.97
Barcelona,Zaragoza,96122.0,2.0803246915378373,1.0793777699522935,1.38,1.67,1.67,1.78,5.03
Cadiz,Madrid,14769.0,4.534924504028708,0.27602553543017266,4.07,4.35,4.62,4.62,5.2
Castello,Madrid,8638.0,3.3454677008566787,0.09644008560231065,3.3,3.3,3.3,3.3,3.55
Castellon,Madrid,207860.0,3.479095400750504,0.6346724855735175,2.6,2.85,3.42,3.75,5.2
Ciudad Real,Madrid,31460.0,1.1254396058486966,0.6189264974343522,0.87,0.93,0.93,0.97,3.47
Cordoba,Madrid,1354929.0,1.8855998432390189,0.46135830614230405,1.68,1.77,1.8,1.87,5.6
Cuenca,Madrid,23885.0,1.329891563742935,0.7615938864178019,0.87,0.93,1.0,1.12,3.35
Córdoba,Madrid,79418.0,1.8297739807096631,0.15031148820052215,1.72,1.75,1.8,1.85,2.33
Girona,Madrid,374298.0,4.228130446863194,0.7960603629545633,3.32,3.75,3.98,4.45,6.52
Granada,Madrid,151797.0,3.2839757043946847,0.2564868276979963,3.08,3.15,3.23,3.32,4.7
Guadalajara,Madrid,15804.0,0.535459377372817,0.10834215341190313,0.45,0.45,0.48,0.67,0.75
Huesca,Madrid,7028.0,3.0362336368810476,0.4669032693440783,2.18,2.33,3.17,3.4,3.58
Leon,Madrid,302734.0,3.229456024100365,1.1950417495990755,1.95,2.23,2.42,4.77,5.98
León,Madrid,27788.0,2.767474809270189,1.1886995432288603,1.95,2.08,2.25,2.35,5.98
Lleida,Madrid,466356.0,2.540572095137621,1.1925268099628585,2.03,2.18,2.18,2.18,10.18
Madrid,Albacete,565121.0,1.9045433809750483,0.454034159477827,1.5,1.58,1.62,2.33,2.97
Madrid,Alicante,353604.0,2.884571611180868,1.1688993010043518,2.3,2.55,2.58,2.58,8.92
Madrid,Barcelona,4338150.0,3.1573093392344647,1.2226195391065684,2.5,2.5,2.85,3.17,9.5
Madrid,Cadiz,13043.0,4.443862608295638,0.2555098102500996,4.08,4.3,4.43,4.5,5.1
Madrid,Castello,20707.0,3.8106591973728685,0.4366113652917328,3.15,3.33,4.13,4.22,4.22
Madrid,Castellon,201658.0,3.114375576471055,0.3944781166759114,2.53,2.75,3.22,3.35,4.37
Madrid,Ciudad Real,32282.0,1.061178985192987,0.6594639649273879,0.83,0.83,0.88,0.88,4.25
Madrid,Cordoba,1313016.0,1.837813240661195,0.469115154284462,1.67,1.7,1.72,1.83,5.6
Madrid,Cuenca,24055.0,1.2971818748700894,0.7630658530589124,0.9,0.92,0.98,1.12,3.23
Madrid,Córdoba,82101.0,1.8244794825885187,0.3461571686273112,1.67,1.7,1.72,1.87,3.88
Madrid,Girona,357846.0,3.9817356628270266,0.5388723343741049,3.3,3.75,3.82,4.07,5.68
Madrid,Granada,152487.0,3.3046578396846944,0.019450115947831057,3.28,3.28,3.32,3.32,3.32
